Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
20.71695906,0.001165637164,-1.359600186,-2.445013046
20.72702987,0.101148881,-1.440958619,-2.662879467
20.73703963,0.2033847421,-1.508391857,-2.851228476
20.74717147,0.3206611872,-1.585208178,-3.031027794
20.75724227,0.4567055106,-1.671960592,-3.213698387
20.76731307,0.6123046279,-1.759233594,-3.377390146
20.77738387,0.7851463556,-1.837270498,-3.521501064
20.78745467,0.9660128355,-1.901711822,-3.631851435
20.79752547,1.153097749,-1.947796106,-3.713558912
20.80759627,1.350575805,-1.990774751,-3.786159039
20.81766707,1.553515673,-2.027487278,-3.845964909
20.82773787,1.746539831,-2.055404663,-3.872327328
20.83780867,1.926002622,-2.078640461,-3.862850666
20.84787947,2.096141815,-2.099806786,-3.830361843
20.85795028,2.258524179,-2.118630409,-3.785461187
20.86799056,2.406740904,-2.133001089,-3.727796316
20.87809188,2.511630774,-2.126593351,-3.634632587
20.88816268,2.57759285,-2.103407621,-3.507403851
20.90827376,2.667157888,-2.056607723,-3.230739355
20.91837508,2.638727665,-1.988971472,-3.003809214
20.92844588,2.579286098,-1.912700057,-2.74969697
20.93851668,2.411037922,-1.7996099,-2.386800051
20.94858748,2.224262714,-1.764316797,-1.986058235
20.9586888,1.970087051,-1.71891892,-1.503123522
20.96872908,1.739201307,-1.650197506,-1.043062568
20.97879988,1.50718081,-1.56549263,-0.57990098
20.98887069,1.175946355,-1.446978211,0.05561272427
20.99894149,0.8690907955,-1.304464102,0.6585105658
21.00901229,0.5923449397,-1.149113774,1.234877467
21.01908309,0.3273250461,-0.9714979529,1.805209637
21.02915389,0.07713717967,-0.777107656,2.355899334
21.03922469,-0.1569755375,-0.5592294335,2.88210988
21.04929549,-0.3535145521,-0.331954211,3.369116783
21.05961043,-0.5239257216,-0.08681855351,3.817986965
21.07950789,-0.7876141071,0.4303548634,4.708487988
21.08957869,-0.8517577052,0.6951199174,5.005079269
21.10032088,-0.8789977431,0.9452328086,5.205423355
21.11033065,-0.8554971218,1.145047903,5.182042599
21.12034041,-0.8219912052,1.319041133,5.196592331
21.1303807,-0.7607475519,1.44318831,5.116265774
21.14039046,-0.6763260961,1.476089954,4.89302063
21.15040023,-0.5863121748,1.435173869,4.579629421
21.16044051,-0.4927612245,1.412203789,4.292651176
21.17048079,-0.3988086581,1.412659407,3.999548912
21.18049056,-0.3176395595,1.422247291,3.691576719
21.19050032,-0.2589693367,1.419773221,3.370069981
21.20054061,-0.1981470585,1.388100863,3.043329239
21.21055037,-0.1138865128,1.332286596,2.726596355
21.22059066,-0.001286331564,1.274281263,2.433841467
21.23060042,0.128065303,1.212927341,2.12939167
21.2406407,0.2590739429,1.10874486,1.759786487
21.25074202,0.4129002988,0.9680368304,1.322074175
21.26078231,0.5437815785,0.8038275242,0.9005024433
21.27082259,0.6089714766,0.6917151213,0.5968603492
21.28086287,0.6544354558,0.6047096252,0.362344414
21.29096419,0.6962277889,0.5290567279,0.1248881966
21.30106551,0.7334018946,0.4534774721,-0.08128981292
21.31113631,0.7681956887,0.3967441022,-0.2538752854
21.32120711,0.7993545532,0.3601574004,-0.4030756354
21.33124739,0.8325479031,0.3069318831,-0.5342308283
21.34128768,0.8688577414,0.2432908118,-0.6398031116
21.351389,0.9062165022,0.1747262627,-0.7194524407
21.3614598,0.9392684102,0.1223178208,-0.7742531896
21.37207991,0.9695634842,0.05890444666,-0.800311029
21.3821202,0.9843690395,0.01959698275,-0.7898919582
21.39212996,0.9821875691,-0.007112545893,-0.7420908809
21.40217025,0.9566141963,-0.007164937444,-0.6679475307
21.42218978,0.8721507788,0.006190096028,-0.5388855338
21.43219954,0.7948704362,0.03495652229,-0.4596700966
21.44223983,0.7018337846,0.1208921298,-0.2953710854
21.45224959,0.5839828849,0.2416267395,-0.09068693221
21.46228987,0.4826272726,0.3793201745,0.1172543913
21.48230941,0.3421759605,0.6007365584,0.4341806173
21.49234969,0.2642034888,0.6626012325,0.5316545367
21.50245101,0.1637912393,0.7177448869,0.604600668
21.51252181,0.0475759469,0.7286007404,0.6346307397
21.52259261,-0.06858576089,0.7371435165,0.6444219351
21.53266341,-0.1701742113,0.7048345208,0.6165909767
21.54291732,-0.2466925085,0.6689445972,0.5573241711
21.56290633,-0.2997188866,0.5898976922,0.4327197075
21.57297713,-0.2813568413,0.5297102332,0.3746558428
21.58304793,-0.2462056279,0.4339495897,0.2609858513
21.59311873,-0.1927154958,0.2827217281,0.08071085066
21.60318953,-0.1395553201,0.1164092943,-0.1262789816
21.61326033,-0.09036091715,-0.03662871942,-0.3157891035
21.62333113,-0.05459738895,-0.1498076916,-0.451402992
21.63340194,-0.02059544437,-0.2371665686,-0.5292157531
21.64371688,0.02614336833,-0.3157912493,-0.5697200894
21.66361434,0.1524948478,-0.4658745229,-0.6185093522
21.67368514,0.217473194,-0.5166697502,-0.6216598749
21.68375594,0.2737454474,-0.5543473959,-0.6211349964
21.69385726,0.3085185885,-0.5706486702,-0.6037918329
21.70389754,0.334474802,-0.5960523486,-0.6031481624
21.71396834,0.3465456367,-0.6241562366,-0.605250597
21.72403914,0.3470222354,-0.6670744419,-0.6102460623
21.73410994,0.3371316791,-0.7174094915,-0.6191651821
21.74418074,0.3247182965,-0.7741137147,-0.6297383904
21.75425154,0.3211185038,-0.8362976909,-0.6376761198
21.76435286,0.32889691,-0.9137880206,-0.6398163438
21.77439315,0.3000038266,-1.006664395,-0.6396299005
21.78446395,0.2326274216,-1.131856084,-0.6412047744
21.79453475,0.1396376044,-1.279108882,-0.648788929
21.80460555,0.0463735722,-1.436677575,-0.6640282869
21.81467635,-0.03377632424,-1.581505537,-0.6892629266
21.82474715,-0.08581892401,-1.741736054,-0.7262178063
21.83481795,-0.1041910946,-1.934109688,-0.7787407637
21.84485823,-0.09457023442,-2.140841722,-0.8513441086
21.85495955,-0.05046445504,-2.375686407,-0.9470865726
21.86503035,0.02962875925,-2.642265558,-1.06667459
21.87510115,0.1372018009,-2.949781656,-1.211915731
