"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.370959278E0,8.738029599E-1,-4.881087542E-1,8.894596696E-1
1.381701466E0,6.638194323E-1,-5.617911220E-1,8.333489895E-1
1.401171680E0,1.815174669E-1,-6.753186584E-1,6.882523894E-1
1.411242481E0,-6.938072294E-2,-7.310420275E-1,5.811387300E-1
1.421282764E0,-3.220714629E-1,-7.769883275E-1,4.478148520E-1
1.431384083E0,-5.893587470E-1,-8.246478438E-1,3.616176248E-1
1.441454884E0,-8.977888227E-1,-8.981847763E-1,2.656136751E-1
1.451525684E0,-1.193407178E0,-1.078252792E0,1.584209204E-1
1.471697804E0,-1.403212905E0,-1.595666528E0,-1.436502337E-1
1.482531544E0,-1.406601429E0,-1.734472036E0,-3.783319592E-1
1.501879688E0,-1.174901843E0,-1.781994343E0,-8.646810651E-1
1.511950489E0,-9.235466123E-1,-1.775820017E0,-9.982717037E-1
1.522021290E0,-6.129189730E-1,-1.746968389E0,-1.050845861E0
1.532092091E0,-2.708947659E-1,-1.729058385E0,-1.035995007E0
1.542162891E0,8.347908407E-2,-1.708018541E0,-1.007019758E0
1.552233692E0,4.177717865E-1,-1.678405285E0,-9.888735414E-1
1.562304493E0,7.066060305E-1,-1.622005224E0,-9.737102985E-1
1.572375294E0,9.550220966E-1,-1.558422565E0,-9.032459855E-1
1.583361622E0,1.204238415E0,-1.492599368E0,-8.092085123E-1
1.602587696E0,1.858916163E0,-1.173454762E0,-7.801967859E-1
1.612658497E0,2.202767372E0,-7.790324688E-1,-6.885159612E-1
1.632800098E0,2.987951279E0,1.650353074E-1,-2.955983877E-1
1.642901417E0,3.431733608E0,6.198081374E-1,1.448632311E-2
1.652941700E0,3.789276361E0,1.025686026E0,3.237173557E-1
1.663043018E0,4.094764709E0,1.397611022E0,5.680667162E-1
1.673113819E0,4.369785309E0,1.737972736E0,7.393501997E-1
1.684191700E0,4.610880852E0,2.077556133E0,8.688269854E-1
1.703295704E0,4.900383949E0,2.677688837E0,1.088027239E0
1.713366505E0,4.974400997E0,2.953577042E0,1.157441020E0
1.723437305E0,5.033645630E0,3.252479076E0,1.172309875E0
1.733508106E0,5.077713490E0,3.585785866E0,1.115141511E0
1.743548389E0,5.040070057E0,3.911683083E0,1.057588220E0
1.753619190E0,4.880856514E0,4.211976528E0,1.016345382E0
1.763689991E0,4.683885574E0,4.409726143E0,9.819192886E-1
1.773791309E0,4.423161030E0,4.460167408E0,9.549074769E-1
1.784106251E0,4.108827114E0,4.462291241E0,9.932423830E-1
1.804003712E0,3.584891081E0,4.191945553E0,1.151014924E0
1.814013477E0,3.383362770E0,4.061207294E0,1.290730119E0
1.824145313E0,3.223294020E0,3.993380785E0,1.354154348E0
1.834216114E0,3.001540899E0,3.979297161E0,1.309635639E0
1.844256397E0,2.678019762E0,3.987884521E0,1.162119746E0
1.854327198E0,2.263515711E0,4.003571033E0,9.846318364E-1
1.864397999E0,1.911411762E0,3.970639944E0,7.733529806E-1
1.874499317E0,1.507809997E0,3.824766636E0,5.419461727E-1
